ident,type,name,latitude_deg,longitude_deg,elevation_ft,iata_code,municipality
02IN,small_airport,Diamond P. Field,40.208900451660156,-85.54080200195312,904,,Muncie
04I,small_airport,Columbus Southwest Airport,39.91151,-83.188577,920,,Columbus
06OI,small_airport,Green Acres Airport,39.734798431396484,-84.3822021484375,915,,New Lebanon
07IN,small_airport,Gray Airport,39.573699951171875,-85.91390228271484,750,,Boggstown
0D7,small_airport,Ada Airport,40.7906,-83.829102,949,,Ada
0II0,small_airport,Chuck's Airport,40.258381,-85.253348,955,,Albany
0II7,small_airport,Frost Field,39.79560089111328,-85.78610229492188,900,,Greenfield
0IN2,small_airport,The Lazy K Airport,40.82780075073242,-85.08609771728516,835,,Tocsin
0KY0,small_airport,Owen Air Park,38.622798919677734,-84.77890014648438,890,,Owenton
0OH6,small_airport,Fry Field,39.60060119628906,-84.01969909667969,775,,Spring Valley
0OH8,small_airport,Fry Airport,40.18840026855469,-84.256103515625,900,,Piqua
0OI2,small_airport,Unger Field,39.359798431396484,-83.4177017211914,940,,Greenfield
0OI9,small_airport,Hidden Quarry Airport,38.894500732421875,-83.1135025024414,830,,Lucasville
11OA,small_airport,Hide-A-Way Hills Resort Airport,39.64310073852539,-82.466796875,780,,Bremen
12II,small_airport,Pentecost Airport,39.856272,-84.973464,1020,,Richmond
12OH,small_airport,McGregor Airfield,39.834773,-84.333486,940,,Brookville
13IN,small_airport,Gage Airport,40.814484,-84.927803,814,,Decatur
14OH,small_airport,Heilman Airport,40.66889953613281,-83.44349670410156,930,,Kenton
16OH,small_airport,Maci's Landing,39.483011,-82.813534,805,,Kingston
16OI,small_airport,Trump Airport,40.125301361083984,-84.5824966430664,1038,,Greenville
17IN,small_airport,Pruss Airport,38.978401,-85.109703,890,,Dillsboro
17OI,small_airport,Haas Airport,39.226382,-83.317583,750,,Bainbridge
19KY,small_airport,Charlie Bravo's Airport,38.706482,-84.600217,940,,Dry Ridge
1II0,small_airport,Webster Airport,39.576698303222656,-85.58779907226562,910,,Homer
1II8,small_airport,Morris Airport,39.814009,-85.819184,870,,Greenfield
1IN9,small_airport,Lee Farms Airport,40.594916,-85.424473,856,,Marion
1OA1,small_airport,Bashore Airport,40.0458984375,-84.33439636230469,940,,Pleasant Hill
1OA4,small_airport,Kepes Flying Field,39.92359924316406,-83.66169738769531,1080,,Springfield
1OA5,small_airport,Double J Airport,39.21950149536133,-83.95269775390625,972,,Fayetteville
1OA6,small_airport,Frith Airport,39.33620071411133,-84.0457992553711,910,,Morrow
1OH1,small_airport,S and S Field,40.30139923095703,-83.9760971069336,1057,,Quincy
1OH8,small_airport,Lisbon Airfield,39.86669921875,-83.63330078125,1160,,South Charleston
1OH9,small_airport,Lewis Airport,38.93510055541992,-83.39939880371094,862,,Peebles
1OI6,small_airport,Stone Airport,39.77009963989258,-84.4166030883789,978,,New Lebanon
1OI9,small_airport,Mc Colloch's Airport,40.177299499499995,-84.29440307620001,990,,Piqua
1WF,small_airport,Waco Field,40.014801025390625,-84.1980972290039,820,,Troy
20KY,small_airport,Madi's Meadows Airport,38.815704,-84.674006,880,,Verona
21OI,small_airport,Clearwater Airpark,39.128101,-84.092697,905,,Batavia
24OI,small_airport,Reeds Airport,40.07780075073242,-83.89720153808594,1200,,St Paris
27OH,small_airport,Schaller Airport,40.94670104980469,-83.67990112304688,830,,Findlay
