airport_ident,le_ident,he_ident,length_ft,surface,le_latitude_deg,le_longitude_deg,le_heading_degT,he_latitude_deg,he_longitude_deg,he_heading_degT
02IN,09,27,1020,TURF,,,,,,
04I,06,24,2382,TURF-G,39.90919876098633,-83.19280242919922,,39.91310119628906,-83.18470001220703,
06OI,09,27,2256,TURF-F,,,,,,
07IN,N,S,1860,TURF,,,,,,
0D7,09,27,1955,TURF-G,40.79059982299805,-83.83260345458984,,40.79059982299805,-83.82550048828125,
0II0,E,W,1500,TURF,,,,,,
0II7,N,S,2500,TURF,,,,,,
0IN2,09,27,1300,TURF,,,,,,
0IN2,18,36,2900,TURF,,,,,,
0IN4,NW,SE,2440,ASPH,,,,,,
0KY0,13,31,2300,TURF,,,,,,
0OH6,04,22,800,TURF,,,,,,
0OH8,03,21,3000,ASPH,40.184600830078125,-84.25830078125,24.8,40.192100524902344,-84.25379943847656,
0OI2,14,32,2200,TURF,,,,,,
0OI9,10,28,1100,TURF,,,,,,
11OA,11,29,2300,TURF,,,,,,
12II,E,W,2500,TURF,,,,,,
12OH,17,35,1030,TURF,,,,,,
13IN,18,36,2200,TURF-P,,,,,,
14OH,02,20,2000,TURF,,,,,,
16OH,01,19,2000,Turf,,,,,,
16OI,18,36,2600,TURF,,,,,,
17IN,NE,SW,3100,TURF,,,,,,
17OI,13,31,1920,TURF-G,,,,,,
19KY,18,36,2200,TURF,,,,,,
1II0,E,W,1700,TURF,,,,,,
1IN9,9,27,2423,Turf,,,,,,
1OA1,09,27,2237,TURF-G,,,,,,
1OA4,11,29,1600,TURF,,,,,,
1OA5,09,27,2400,TURF,,,,,,
1OA6,09,27,2970,TURF,,,,,,
1OH1,18,36,2100,TURF,,,,,,
1OH8,05,23,1800,TURF,,,,,,
1OH9,08,26,3200,TURF,,,,,,
1OI6,09,27,2500,TURF,,,,,,
1OI9,09,27,2165,TURF,,,,,,
1WF,18,36,2385,TURF-G,,,,,,
20KY,05,23,1800,TURF,,,,,,
21OI,07,25,2650,TURF,,,,,,
21OI,17,35,1860,TURF,,,,,,
21OI,H1,,100,TURF,,,,,,
24OI,18,36,2000,TURF,,,,,,
27OH,18,36,2580,TURF,,,,,,
2B6,05,23,3203,TURF-G,,,,,,319.6
2B6,13,31,2670,TURF-F,,,,,,186
2II3,18,36,2200,TURF,,,,,,
2IN0,09,27,2050,TURF,,,,,,
